Tarih,TOPLAM,Adana,Adıyaman,Afyonkarahisar,Ağrı,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Balıkesir,Bartın,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Çanakkale,Çankırı,Çorum,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Iğdır,Isparta,İstanbul,İzmir,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kırıkkale,Kırklareli,Kırşehir,Kilis,Kocaeli,Konya,Kütahya,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Şanlıurfa,Şırnak,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak
2025,990.037,23.073,4.680,7.438,2.085,5.126,3.810,94.845,48.659,290,1.286,20.675,21.563,1.579,5.053,461,2.017,1.665,2.132,5.611,2.153,34.817,7.741,1.781,5.333,12.217,15.691,5.177,4.645,7.836,2.347,6.780,15.592,26.808,4.489,831,1.093,10.593,897,4.587,177.713,60.320,8.807,2.543,2.084,2.335,3.598,23.213,4.787,4.155,2.769,1.677,22.916,22.335,5.180,5.835,15.555,7.793,31.737,14.255,1.996,3.049,4.162,6.677,3.733,2.236,14.951,16.721,2.373,1.759,5.553,19.794,1.540,21.982,4.227,7.250,705,3.689,6.510,9.840,3.792,4.435
2024,993.564,21.957,4.463,7.819,2.047,5.135,3.698,99.316,47.506,267,1.299,21.189,23.130,1.531,5.238,560,1.933,2.494,2.335,4.957,2.142,35.928,8.425,1.750,5.321,13.011,17.009,5.307,4.807,9.020,2.432,7.465,15.034,27.279,4.131,947,621,10.575,1.035,5.063,173.579,59.009,7.920,2.483,2.053,2.309,4.084,23.613,4.826,4.211,2.683,1.907,22.825,23.240,5.209,5.691,16.235,7.653,28.457,14.306,2.383,3.045,5.039,6.693,3.639,2.546,14.927,16.055,2.283,1.846,5.080,19.775,2.193,20.971,3.695,7.321,761,3.623,6.708,10.422,3.810,4.280
2023,846.384,14.449,2.985,7.328,1.922,4.371,2.934,89.284,39.378,231,1.201,19.368,19.776,1.341,3.947,491,1.707,2.157,1.796,4.646,2.041,30.830,7.062,1.463,4.905,11.918,12.215,4.528,4.821,7.781,2.173,6.825,13.651,20.858,4.232,675,291,7.840,860,5.034,143.449,47.711,6.327,2.358,2.001,2.136,3.375,19.790,5.025,4.675,2.895,1.985,20.122,21.009,4.328,5.366,13.384,6.286,22.018,12.162,1.760,2.423,4.468,6.696,2.799,2.349,15.001,13.783,1.976,1.923,4.703,15.195,2.719,18.299,3.216,7.109,640,3.324,5.887,9.318,3.396,3.683
2022,1.025.543,18.767,4.396,8.336,1.980,4.032,3.353,101.219,54.290,266,1.378,24.054,23.107,1.779,4.147,576,2.302,1.884,1.775,5.550,2.377,36.790,7.817,1.859,5.775,14.136,12.733,5.488,5.234,6.830,2.523,6.319,16.023,23.091,5.717,825,733,15.255,969,5.592,188.602,60.221,9.502,2.902,2.326,2.080,3.591,21.276,5.918,5.103,2.851,2.293,24.626,22.129,5.799,8.763,15.354,6.610,27.405,14.691,1.868,2.776,5.693,6.777,5.073,2.617,16.757,16.366,2.133,2.370,5.355,16.647,1.255,24.845,3.685,8.531,771,3.899,6.424,11.908,3.765,4.709
2021,1.030.333,20.958,4.155,7.573,1.354,3.766,2.946,113.215,47.761,145,1.139,25.050,23.446,1.786,3.584,496,2.181,1.618,1.158,5.315,2.062,36.082,8.329,1.732,5.193,12.101,12.869,5.175,4.637,5.596,1.932,5.665,16.138,22.521,3.994,696,85,15.049,842,4.761,201.072,63.506,8.684,3.155,2.566,1.555,3.460,22.786,4.016,4.666,2.595,2.203,24.230,24.991,5.384,8.984,15.461,5.663,30.108,15.624,1.497,2.489,4.808,6.117,3.986,2.159,15.939,15.921,1.699,2.580,5.675,18.294,648,25.072,3.644,8.241,564,3.685,5.032,11.006,3.080,4.383
2020,1.029.576,23.339,4.426,6.735,1.321,3.878,3.385,119.062,47.366,135,1.187,25.461,23.640,1.782,3.138,314,2.388,1.229,1.123,4.409,2.211,36.620,9.396,1.879,5.460,12.637,14.221,4.641,4.662,5.960,1.846,6.290,15.161,23.131,3.765,734,78,16.784,811,4.926,187.313,65.923,9.217,3.306,2.693,1.796,4.001,21.525,4.181,4.721,2.739,1.919,24.636,24.127,5.482,8.408,16.761,5.934,31.394,15.613,1.324,2.595,4.867,6.159,4.402,2.225,15.331,15.775,1.722,2.042,6.159,16.883,683,23.239,4.098,8.034,460,3.866,5.023,9.276,3.364,4.829
2019,837.047,18.752,3.783,5.719,1.295,3.081,2.689,91.379,45.124,122,1.021,21.079,20.954,1.593,2.733,305,1.866,1.268,922,5.346,1.611,30.542,7.250,1.685,4.735,10.058,11.649,3.607,3.711,5.551,1.543,4.708,13.112,18.833,3.086,521,85,13.467,837,3.892,145.294,51.142,8.734,2.909,2.194,1.814,3.095,17.888,3.499,3.409,2.397,1.623,19.591,19.950,4.990,6.979,15.185,4.987,23.248,12.930,1.103,2.680,4.206,4.790,4.344,1.777,12.234,13.080,1.609,1.722,4.829,12.841,448,16.432,3.504,7.354,453,3.172,3.831,8.141,2.807,4.318
2018,723.826,15.437,2.841,5.340,1.386,2.815,2.206,83.216,38.714,119,813,18.844,17.522,1.274,2.114,324,1.744,1.420,824,3.995,1.844,25.401,6.069,1.457,3.940,8.192,9.847,3.226,3.442,5.209,1.338,4.092,12.286,15.438,2.809,590,94,11.115,646,3.140,122.825,42.800,6.851,2.353,1.727,1.227,2.386,18.218,3.016,2.906,2.110,1.445,18.522,17.725,4.317,6.390,11.364,3.448,21.409,11.481,1.056,2.219,3.337,4.163,3.016,1.585,11.590,11.533,1.008,1.420,4.585,9.934,301,14.979,2.443,7.064,513,2.749,3.110,7.509,2.617,3.452
2017,749.616,15.568,2.688,4.588,1.052,2.611,2.424,92.657,36.527,92,1.031,19.525,16.596,1.305,1.831,265,2.098,1.672,720,4.311,1.385,28.277,6.231,1.557,4.503,8.451,9.701,2.825,4.300,5.918,1.271,4.304,12.796,15.663,2.873,501,45,10.745,580,3.003,123.651,49.523,6.506,2.419,1.823,953,2.510,19.640,3.419,3.468,2.180,1.310,19.598,18.347,4.589,7.001,12.087,3.065,21.842,12.201,765,1.925,3.384,4.064,3.006,1.863,10.866,11.804,976,1.581,4.036,9.493,267,17.150,2.750,6.798,461,3.198,3.852,6.430,2.662,3.663
2016,709.767,14.044,2.526,4.072,845,2.212,2.305,85.805,36.994,133,986,18.262,18.432,1.223,1.404,183,1.740,658,668,3.174,1.222,28.631,6.524,1.415,4.464,7.151,7.077,2.491,4.348,5.864,1.025,3.826,10.991,12.954,2.956,391,32,8.767,462,2.710,122.104,48.707,4.997,2.163,1.548,799,2.368,19.216,3.064,3.511,2.017,835,18.887,16.601,4.184,6.722,10.749,2.218,22.002,12.051,667,1.888,2.695,4.282,2.775,1.701,10.556,11.324,852,1.501,3.912,7.959,141,18.775,2.718,7.016,388,2.611,2.228,5.914,2.375,3.779
2015,690.653,13.244,2.153,3.881,674,2.254,1.848,85.102,37.850,85,944,17.444,15.851,1.008,1.296,184,1.583,478,595,3.076,1.067,27.452,5.805,1.275,4.406,6.661,7.370,2.173,4.316,5.600,967,3.817,10.435,11.084,2.582,477,48,8.168,399,2.479,127.276,46.731,4.493,1.912,1.396,671,2.288,18.039,2.849,3.036,2.013,905,17.958,16.248,3.634,6.188,9.792,1.621,22.758,11.823,545,2.337,2.802,4.136,2.638,1.594,10.462,10.003,733,1.375,3.134,7.457,136,18.946,2.597,6.361,383,2.027,1.751,7.681,2.201,3.592
2014,623.827,12.486,1.897,3.734,498,2.043,1.644,77.623,35.392,59,599,15.105,13.547,776,1.173,107,1.400,262,430,2.663,881,22.476,4.873,1.055,4.186,6.489,6.703,2.013,3.246,5.328,896,3.203,8.865,10.272,2.235,289,38,7.798,371,2.290,122.518,42.422,4.209,1.771,1.213,572,1.918,16.971,2.454,2.527,1.922,885,14.967,14.071,3.166,5.503,8.079,1.298,19.744,10.851,479,2.483,2.652,3.724,1.799,1.476,9.711,9.053,708,1.202,2.532,6.064,155,16.873,2.435,5.258,399,1.450,1.391,7.183,1.898,2.896
2013,628.061,12.636,2.225,3.752,575,1.999,1.743,84.149,34.040,33,687,14.794,12.641,763,905,115,1.273,215,528,1.795,801,21.263,4.697,958,4.341,6.825,6.125,1.832,3.530,4.632,913,3.211,8.284,10.495,2.339,284,18,7.378,329,2.116,130.936,43.930,4.348,1.367,1.222,472,1.912,16.397,2.521,2.559,1.830,710,14.898,14.204,3.092,5.278,8.637,1.287,19.730,10.142,406,2.406,2.712,3.571,1.760,1.359,8.676,8.801,546,1.150,2.682,5.720,143,15.802,2.247,4.873,423,1.374,1.161,6.702,1.959,2.877