Tarih,TOPLAM, Adana, Adıyaman, Afyonkarahisar, Ağrı, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydın, Balıkesir, Bartın, Batman, Bayburt, Bilecik, Bingöl, Bitlis, Bolu, Burdur, Bursa, Çanakkale, Çankırı, Çorum, Denizli, Diyarbakır, Düzce, Edirne, Elazığ, Erzincan, Erzurum, Eskişehir, Gaziantep, Giresun, Gümüşhane, Hakkari, Hatay, Iğdır, Isparta, İstanbul, İzmir, Kahramanmaraş, Karabük, Karaman, Kars, Kastamonu, Kayseri, Kırıkkale, Kırklareli, Kırşehir, Kilis, Kocaeli, Konya, Kütahya, Malatya, Manisa, Mardin, Mersin, Muğla, Muş, Nevşehir, Niğde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Siirt, Sinop, Sivas, Şanlıurfa, Şırnak, Tekirdağ, Tokat, Trabzon, Tunceli, Uşak, Van, Yalova, Yozgat, Zonguldak
2025,444.096,8.911,1.883,3.019,1.524,3.311,2.602,34.313,25.282,265,481,6.259,10.424,730,4.580,505,1.310,570,1.567,1.729,918,14.143,4.357,740,2.722,5.325,7.813,2.664,2.148,3.745,1.667,3.534,7.656,12.125,3.431,610,238,3.393,909,2.179,58.394,22.816,3.344,905,612,2.325,1.812,8.954,1.714,1.986,1.881,775,11.927,13.327,3.017,1.952,7.264,4.285,18.028,6.314,1.493,1.687,1.271,4.463,1.745,642,8.145,12.071,1.149,1.114,3.779,10.443,791,13.636,2.694,2.506,659,2.309,3.132,3.930,2.802,2.421
2024,484.461,11.175,2.342,3.044,1.836,4.801,2.707,34.730,30.006,488,609,7.554,10.402,1.013,5.112,439,1.270,550,2.261,1.917,1.247,17.434,4.259,929,2.971,6.275,8.231,3.098,1.999,4.032,2.393,4.239,7.385,15.188,3.332,773,337,3.349,661,2.352,65.634,21.389,3.782,1.064,959,2.449,2.108,10.406,1.933,1.890,2.260,837,11.951,14.735,3.400,2.523,7.552,4.505,18.633,7.678,1.355,2.021,1.071,4.141,2.119,894,8.484,11.553,1.462,1.170,3.465,12.293,675,13.678,3.125,2.684,342,2.528,3.007,3.977,3.289,2.700
2023,379.542,6.694,1.893,2.048,1.009,3.596,1.940,25.148,25.343,195,566,6.821,8.561,652,4.749,498,1.110,752,1.822,1.499,930,14.586,3.514,623,2.550,4.496,6.196,2.606,1.836,4.209,1.422,3.432,5.895,11.402,2.393,645,210,2.880,558,1.976,55.290,17.754,3.345,553,557,1.665,1.633,8.291,1.514,1.404,1.562,918,11.019,10.856,1.936,1.981,5.842,3.158,12.972,6.379,1.071,1.251,696,3.016,1.531,959,6.511,8.461,1.070,1.027,2.330,8.569,594,9.451,2.569,2.971,330,1.875,2.221,2.389,2.356,2.410
2022,460.079,8.141,3.802,2.688,1.122,3.290,1.986,24.947,26.169,202,682,8.704,9.902,652,4.045,380,1.312,1.466,2.433,2.185,963,17.487,4.100,787,3.530,4.989,6.598,3.352,2.622,5.798,1.559,4.037,6.286,15.590,2.569,587,177,7.989,826,2.373,71.052,23.281,7.134,717,520,1.506,2.876,9.634,2.259,2.517,1.730,1.380,13.428,12.425,2.788,4.084,8.019,3.773,12.839,7.098,1.172,1.319,766,4.539,2.729,1.701,8.049,8.983,1.911,978,2.788,9.757,585,9.862,2.737,3.627,580,2.449,2.073,3.113,2.682,2.292
2021,461.523,7.329,5.182,2.692,1.406,3.357,2.019,30.889,18.930,232,619,8.990,10.895,858,2.518,375,1.526,2.117,1.611,2.281,1.432,17.738,3.907,824,3.455,5.001,7.229,2.661,2.731,5.828,1.568,4.349,5.553,13.089,3.214,731,182,7.826,995,2.434,75.151,23.216,6.688,607,525,1.660,2.804,9.203,2.139,2.921,1.754,1.146,12.290,13.123,2.620,4.109,8.018,3.187,11.425,7.475,1.194,1.321,2.072,4.908,2.891,1.789,7.985,9.347,1.848,677,3.121,9.443,727,10.622,3.118,3.485,911,2.024,2.211,2.838,2.474,1.883
2020,469.740,9.987,2.956,3.268,1.150,3.127,2.077,38.033,16.532,57,888,8.317,8.624,952,2.141,429,1.365,1.321,1.126,2.153,1.543,18.602,3.457,799,3.345,5.445,5.112,3.211,3.004,4.965,1.361,3.647,7.020,12.227,3.860,788,118,8.391,1.144,1.934,77.785,27.534,6.300,1.278,557,1.233,2.875,8.508,2.202,3.788,1.809,1.116,12.134,13.069,2.759,4.279,8.874,2.678,12.102,6.630,1.040,943,2.404,5.253,2.504,1.778,7.087,10.181,1.068,1.572,3.852,9.388,569,11.379,2.463,4.031,533,2.126,2.655,2.824,2.084,2.020
2019,511.682,10.822,3.333,3.723,837,3.445,2.548,41.107,20.134,63,1.023,8.974,8.115,1.343,2.022,384,1.523,1.224,965,2.814,1.789,19.394,4.755,1.168,3.311,5.505,7.371,3.611,2.919,4.390,1.167,4.083,7.314,13.423,3.662,670,103,9.214,773,2.181,92.381,28.079,7.600,1.196,783,870,3.418,8.726,2.477,3.644,1.798,1.050,11.616,14.664,3.243,4.758,10.582,3.747,12.176,5.554,1.067,723,2.534,5.801,2.565,1.917,6.751,11.482,1.001,1.880,4.463,9.859,520,11.089,2.970,4.044,466,2.753,3.031,2.650,1.875,2.677
2018,651.572,15.201,4.444,4.643,1.039,4.238,3.344,47.945,24.226,67,970,14.619,11.395,2.187,2.364,219,2.139,1.920,1.014,3.253,2.397,25.961,7.656,1.569,4.198,9.915,7.902,4.934,2.815,5.173,1.348,4.811,10.168,13.802,3.890,870,65,11.720,770,3.238,111.230,32.872,9.930,2.140,1.605,1.335,5.090,10.823,3.278,5.707,2.365,923,17.261,19.473,4.689,4.934,13.582,5.155,15.780,7.152,1.007,776,3.325,6.292,3.626,1.919,11.501,13.663,1.640,2.233,6.080,10.762,906,15.907,3.376,5.763,684,3.932,4.386,4.152,2.671,3.218
2017,659.698,15.783,3.731,4.508,1.326,3.462,2.943,57.904,23.746,73,947,15.508,11.654,2.096,2.320,336,2.422,2.291,876,2.921,2.046,27.915,6.828,1.593,4.098,9.698,9.703,4.488,2.943,5.170,1.066,4.539,12.181,14.058,3.161,679,79,11.251,890,3.279,114.732,34.661,9.725,2.438,1.909,1.498,4.199,10.675,3.271,4.906,2.111,1.127,19.300,16.403,4.857,4.983,13.072,5.580,14.698,6.417,862,970,3.185,5.270,3.779,1.905,12.591,12.372,1.601,1.908,6.618,9.839,290,15.994,3.019,5.429,786,3.122,4.082,3.765,2.349,2.888
2016,631.686,13.679,3.393,4.225,1.350,2.970,2.805,58.765,23.614,140,839,14.028,9.234,1.963,3.229,341,2.312,2.075,678,3.098,2.166,23.805,6.665,1.414,4.143,7.826,10.031,3.739,3.601,4.270,1.381,3.473,11.960,13.776,2.826,629,98,11.430,844,2.619,110.324,32.609,9.687,2.878,1.769,1.504,3.109,11.459,2.908,4.494,2.152,1.703,16.370,15.221,4.394,5.676,11.211,4.656,12.902,5.435,575,927,2.580,5.154,3.304,1.733,12.596,10.901,1.342,1.942,5.895,9.890,231,15.351,2.616,6.507,852,2.881,12.053,3.201,2.336,2.924
2015,598.667,10.169,2.622,3.756,1.179,2.898,2.553,61.435,26.546,95,802,11.278,10.441,1.952,2.946,389,2.576,837,542,3.363,1.580,22.685,6.271,1.517,3.796,7.151,8.537,3.580,3.724,4.248,1.347,3.451,11.799,12.902,2.822,779,91,9.881,810,2.526,112.491,31.065,7.235,3.407,1.596,1.410,3.264,12.613,2.844,3.493,2.072,1.762,17.395,14.393,4.277,5.841,9.836,3.747,12.874,5.193,384,872,2.428,5.114,3.341,1.527,10.265,9.230,1.498,1.601,4.497,10.367,744,12.846,2.403,6.273,581,2.214,1.535,3.042,2.040,3.181
2014,541.554,8.411,2.583,2.526,849,2.354,2.350,54.202,26.835,98,935,10.044,9.755,1.163,2.176,611,2.438,301,402,3.301,1.206,19.961,5.490,1.384,3.579,6.715,7.133,2.381,2.929,3.993,1.348,3.174,11.056,11.897,2.477,548,172,8.022,760,2.224,102.936,29.357,6.428,2.520,1.233,1.122,3.024,11.404,2.929,3.164,2.235,1.671,14.753,15.314,3.911,5.519,8.102,2.870,11.460,5.210,180,827,2.079,4.337,4.057,1.675,9.730,9.088,1.322,1.365,2.971,9.000,671,12.366,2.127,6.177,760,1.904,1.516,2.657,1.515,2.285
2013,529.129,8.292,1.989,2.461,1.033,2.577,2.312,53.624,25.438,152,989,9.330,9.593,813,2.097,254,2.116,213,728,2.966,959,19.631,5.294,1.078,3.990,5.766,7.841,1.695,3.670,4.219,1.385,3.062,13.008,11.099,2.606,418,120,7.903,442,1.690,103.853,28.491,5.491,1.488,1.153,804,2.804,10.712,2.979,2.998,2.205,1.171,13.614,13.520,4.148,5.959,6.960,2.507,12.663,5.786,95,726,2.065,4.916,2.947,1.608,9.532,9.737,1.021,1.272,2.662,6.561,703,13.157,2.161,5.919,1.079,1.491,1.905,2.737,2.343,2.333